#Sun Oct 30 08:26:39 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
              15          -69.89           69.97
              16          -71.58           38.82
              17          -41.09           52.76
              18          -95.82           47.36
              19          -60.49           52.04
              20          -52.39           56.88
              21          -18.91           57.33
              22          -66.45           49.41
              23          -55.42           58.04
              24          -59.07           47.73
              25          -29.31           55.42
              26          -75.37           65.38
              27          -97.06           56.87
              28           -63.9           50.34
              29           -61.3           47.65
              30          -80.93           54.29
              31          -65.64           71.88
              32          -58.41           39.87
              33          -25.07           52.62
              34          -87.61           49.88
              35          -48.06           56.19
              36          -62.99           49.32
              37          -31.92           55.89
              38          -72.22           56.42
              39          -47.49           66.64
              40          -52.13           55.11
              41          -53.39           53.56
              42          -77.35            59.2
              43          -73.42           64.84
              44          -58.58           50.43
              45          -43.15           45.22
              46          -60.96            55.3
              47          -61.23           65.81
              48          -60.19           43.03
              49          -33.02            49.4
              50          -85.65           51.03
              51          -61.31           55.36
              52          -52.32           48.87
              53          -26.39           54.45
              54          -67.13           55.33
              55          -57.51              61
              56           -48.5           52.17
              57          -58.11           51.86
              58          -102.4           59.27
              59          -69.81           61.61
              60          -47.81           50.84
              61          -33.23           45.05
              62          -45.46           54.18
              63          -77.12           59.54
              64          -48.46           47.12
              65          -80.37           41.16
              66          -70.19           57.24
              67          -73.37           56.61
              68          -68.66            40.6
              69          -81.14           48.11
              70          -82.39           52.95
              71          -93.19           64.56
              72           -64.3           50.12
              73          -66.65           53.31
              74          -67.07            50.3
              75          -66.55            55.2
              76          -64.72           45.38
              77          -52.99           49.97
              78          -58.86           53.51
              79           -77.8            50.1
              80           -60.2           46.89
              81           -84.5           47.48
              82          -84.41           51.54
              83          -76.24           55.24
              84          -57.04           43.22
              85          -75.36           45.89
              86          -91.61           49.82
              87          -102.4            63.6
              88           -78.9           42.83
              89          -75.71           64.64
              90          -90.59           42.89
              91          -67.29           60.25
              92           -63.4           43.83
              93          -61.28           52.15
              94          -69.78           54.74
              95          -71.17           58.73
              96          -54.37           51.98
              97          -73.61           45.52
              98          -70.41           59.05
              99          -100.8           59.71
             100          -67.54           41.91
             101          -54.96           47.67
             102          -68.21           53.61
             103          -89.37           57.83
             104          -79.78            44.9
             105          -71.25           57.73
             106          -81.64           46.48
             107          -61.73           60.18
             108          -80.82           37.48
             109          -77.26           54.88
             110          -70.88           54.53
             111          -4.896           42.82
             112          -54.63           45.45
             113          -78.87           45.93
             114          -78.17           61.44
             115          -97.71           60.81
             116          -74.28           39.97
             117          -62.04           45.12
             118          -64.28           52.66
             119          -78.32           52.07
             120          -79.47           39.51
             121          -73.74           47.53
             122          -67.79           55.25
             123          -65.34            62.5
             124          -85.34           40.51
             125          -61.91           59.42
             126          -84.93           51.56
             127          -88.57            65.3
APV               20              11               7               7
               0          -92.76           56.93
               1           -59.2           68.54
               2          -121.2           68.07
               3            -121           78.67
               4          -110.4           43.58
               5          -77.66           69.41
               6          -153.5           48.72
               7          -165.9           43.85
               8           8.763           56.52
               9          -107.7           71.96
              10          -162.4           49.87
              11          -135.1           67.46
              12          -81.95           58.44
